lap,lapTime,s1,s2,s3,topSpeed,tireDeg,stressEvent
1,1:34.120,29.850,36.420,27.850,312.4,2.1,Lights Out (P1 into T1)
2,1:30.820,28.450,34.920,27.450,324.2,4.5,
3,1:30.210,28.320,34.680,27.210,326.8,6.8,
4,1:29.890,28.210,34.480,27.200,327.4,9.2,Traffic Callout in S2
5,1:29.740,28.180,34.410,27.150,328.0,11.5,
6,1:29.620,28.150,34.340,27.130,328.2,13.8,
7,1:29.580,28.140,34.310,27.130,328.4,16.0,
8,1:29.510,28.120,34.280,27.110,328.5,18.2,
9,1:29.490,28.110,34.260,27.120,328.6,20.4,
10,1:29.450,28.120,34.230,27.100,328.8,22.5,
11,1:29.480,28.130,34.240,27.110,328.6,24.6,
12,1:29.540,28.150,34.270,27.120,328.4,26.7,Hamilton Pitted (Undercut threat)
13,1:29.610,28.160,34.310,27.140,328.1,28.8,
14,1:29.420,28.110,34.210,27.100,328.9,30.9,Calm delta callout (Fastest Stint Lap)
15,1:29.820,28.190,34.480,27.150,327.8,33.1,
16,1:30.140,28.240,34.720,27.180,327.2,35.4,Backmarker traffic encountered
17,1:30.680,28.310,35.120,27.250,326.5,37.8,Front tire graining reported
18,1:31.240,28.320,35.610,27.310,326.1,40.4,Tire gone / massive understeer in Turn 4
